,title,skill,address,skillAndExperience
10,05 Full-Stack .NET Developer ~ 2000$,"[
.NET

, 
ASP.NET

, 
ReactJS

]","
Tòa nhà 195, Khâm Thiên, Dong Da, Ha Noi
See map

","

Được làm các bài toán lớn, lâu dài, nhiều thử thách, build hệ thống với dữ liệu lên tới hàng trăm triệu record, chục triệu lượt truy cập một ngày
Môi trường học tập tích cực, được đào tạo các kiến thức nền tảng cũng như công nghệ mới
Team vui vẻ, năng động, thường xuyên tổ chức đi dã ngoại/nghỉ dưỡng, cắm trại, du lịch hàng năm cùng công ty.
Thu nhập hấp dẫn, tăng lương không giới hạn theo khả năng phát triển của từng cá nhân.
Lương tháng 13: lên tới 4 tháng lương, thưởng khi hoàn thành tốt các mục tiêu.
Hỗ trợ chi phí tham gia các khóa học nâng cao chuyên môn.

"
11,"Backend Developer (.NET, MVC)","[
.NET

, 
MySQL

]","
65 Lê Lợi, District 1, Ho Chi Minh
See map

",
12,".NET Developer (C#, ASP.NET)","[
.NET

, 
C#

, 
ASP.NET

, 
Fresher Accepted

]","
1 Thai Ha, Dong Da, Ha Noi
See map

","

Mức thu nhập và đãi ngộ cạnh tranh tuỳ theo kinh nghiệm và năng lực. Review lương định kỳ 6 tháng – 1 năm xứng đáng với năng lực và đóng góp. Các chế độ lương tháng 13, thưởng ngày nghỉ lễ, tết.
Tham gia các khoá đào tạo của công ty: tiếng Anh, đào tạo các công nghệ và kỹ năng chuyên môn theo yêu cầu công việc. Cơ hội onsite, tham gia các hội thảo, workshop ở nước ngoài.
Tham gia vào các dự án quy mô quốc tế, có cơ hội được đi công tác và đào tạo trong và ngoài nước.
Quy trình làm việc chuyên nghiệp, môi trường làm việc hiện đại, cởi mở, sáng tạo với những đội ngũ nhân viên trẻ trung năng động.
Môi trường đa quốc gia, làm việc trực tiếp với các đồng nghiệp nước ngoài.
Du lịch, nghỉ mát 2 lần/năm. Tham gia nhiều hoạt động team building của công ty như đá bóng, game, cắm trại...
Tham gia gói bảo hiểm sức khỏe cao cấp Mercer Marsh Benefits
Khám sức khỏe định kỳ. Đóng BHXH đầy đủ trên toàn bộ lương.
Cam kết làm việc lâu dài, ổn định.

"
13,".NET Developer ( Javascript, HTML)~1800$","[
.NET

, 
HTML5

, 
JavaScript

]","
4 Láng Hạ , Ba Dinh, Ha Noi
See map

","

Mức lương cạnh tranh, hấp dẫn
Làm việc trong môi trường hiện đại, năng động, bình đẳng, phát huy tối đa khả năng chủ động và sáng tạo.
Các chế độ BHXH, BHYT theo quy định của nhà nước
Hưởng đầy đủ các chế độ theo luật lao động hiện hành và các chính sách đãi ngộ tốt
Môi trường làm việc:
Chuyên nghiệp, minh bạch, trẻ trung, năng động, cởi mở, thân thiện.
Lãnh đạo luôn đồng hành chia sẻ, hỗ trợ nhân viên trong công việc hàng ngày.
Được tham gia các khóa đào tạo về nghiệp vụ bảo hiểm, nâng cao kiến thức chuyên môn và các khóa đào tạo kỹ năng mềm.
Được trang bị đầy đủ trang thiết bị phục vụ công việc như: máy tính, và các công cụ làm việc.
Được tham gia các hoạt động đoàn thể, hoạt động cộng đồng, xã hội của Tổng công ty;
Cơ hội được thăng tiến, luân chuyển công việc phù hợp với năng lực, sở trường;

"
14,"[Remote] Software Dev (ASP.NET 6.0 or above, .NET, C#)","[
ASP.NET

, 
C#

, 
.NET

]","
Remote, District 4, Ho Chi Minh
See map

","

Friendly & professional working environment.
Competitive Market Rate Salary.
14 days annual leave

"
15,"Fullstack Developer (.NET, C#, Reactjs)","[
.NET

, 
C#

, 
ReactJS

]","
17 Đường số 2, Phường 4, District 3, Ho Chi Minh
See map

","

All members are encouraged to raise their own ideas to grow.
Hybrid working allowed
Full salary during the probation period
13th month salary
Annual Salary Review
Premium Healthcare Insurance
Annual Health Checks
Annual company trip
Be rewarded for achievements that more than expected
Paid time off: 18 days per year
Happy hour every Friday (4pm - 5pm)
Office is an open space where has no private room for C-level executives. Freestyle dress code. Flexible working hours.

"
16,02 Senior .Net Full Stack Developer,"[
.NET

, 
JavaScript

, 
ASP.NET

]","
Sarus Building, 67 Nguyen Thi Minh Khai Street, Ben Thanh Wards, District 1, Ho Chi Minh
See map

","
Attractive Benefits:
Great salary package and comfortable working environment.
Salary increasing yearly.
13th-salary Bonus included probation time.
Yearly Bonus.
Loyalty Employee Benefit.
Opportunity to go work on-site in Europe.
Premium Healthcare Insurance Package.
Company trip, Year-End Party, Annual Health Check-up.
Working hours: 8 hours x 5 days/week (Monday to Friday). 

"
17,[All levels] Backend Developer (.Net/Golang),"[
.NET

, 
C#

, 
Golang

, 
Fresher Accepted

]","
29 Đường Tân Thuận (Tòa nhà FPT Tân Thuận), District 7, Ho Chi Minh
See map

","
Why SENDO?At SENDO we believe that our employees are the keys to our success. Happier employees will perform very well! We not only provide an awesome working environment where young and talented employees work, share ideas and help each other improve, but we also have lots of fun activities. Besides, you will work on the biggest e-commerce product using the latest technology and with top engineers in VietnamSENDO benefits and Perks
Competitive salary and benefits including extra medical insurance.
13th-month salary. Extra bonus based on performance and company profit yearly.
Performance Review 2 times/year to adjust Salary and title/position
Company and team building trip every year
Gift on special days like birthday, Tet and Holidays
Many fun and meaning activities such as sport  and social clubs
Opportunity to training both technical and soft skills to develop your career path

"
18,Senior C# Developer (.NET/OOP/Win/Azure),"[
C#

, 
OOP

, 
.NET

]","
117 Ly Chinh Thang, District 3, Ho Chi Minh
See map

","

We use English in our office.
Performance review 2 times per year.
Premium Health Insurance package (PVI)
13th-month salary o Employee Relationship: company trip, monthly team building
Leave Paid: Summer holiday, Company birthday, Annual Leave (max 24days)
Care programs: Wedding, Close family pass away, Giving Birth, Premium Insurance. 
Free Drinking: Coffee, Tea, Milk & Beer.
Work-Life Balance: Baby care time policy for staffs have kids.
Commuting allowances (parking/transportation fee)
Annual health checkup
Sports club (badminton, football, swimming, yoga)
Buying book support.
Summer Holidays 

"
19,Full Stack Dev (.NET Core C# /React/Eng),"[
.NET

, 
C#

, 
ReactJS

]","
Kyushu Promotion Center, Villa A3, 73 Van Bao, Ba Dinh, Ha Noi
See map

","

Being involved in building a valuable product that makes a global impact for future generations
A truly international & flexible work environment
A fun, supportive team culture with passionate people
Work remotely up to 3 days/week
Macbook/Laptop of your choice is provided
$1,000/year for learning and development
13th-month Salary
20 days of Paid Leave (AL + Sick Leave)
Private Health Insurance
Social Insurance with full salary
Stock options (ESOP) with a well-funded award-winning startup
Sponsored Team Activities and Outings
Trip to Auckland, New Zealand to visit our team and clients!

"
20,.NET/Java/NodeJS Backend Developer ~40M,"[
NodeJS

, 
Java

, 
.NET

]","
TT-02, Khu văn phòng và nhà ở 536A Minh Khai, Phường Vĩnh Tuy, Hai Ba Trung, Ha Noi
See map

","

Mức lương: Thỏa thuận theo năng lực. (Từ 20.000.000 VNĐ - 40.000.000 VNĐ)

Thử việc 02 tháng hưởng 100% mức lương chính thức.

Được hưởng 12 ngày phép/ năm + Thưởng lễ - tết theo quy định công ty.
Hỗ trợ tiền ăn trưa và gửi xe hàng tháng.
Hưởng đầy đủ các chế độ theo quy định của nhà nước (BHXH, BHYT, BHTN,…).
Công ty sẽ cung cấp trang thiết bị đầy đủ để phục vụ công việc.
Trà, Coffee, đồ ăn vặt cho ngày làm việc.
Tham gia các hoạt động teambuilding, nghỉ mát hàng năm, đá bóng hàng tuần.

"
21,"Fullstack Developer (.Net/Java, Azure)","[
.NET

, 
Java

]","
364 Cong Hoa street, ward 13, Tan Binh, Ho Chi Minh
See map

","
Why BOSCH?Because we don't just follow trends, we create them.Because together we turn ideas into reality, working every day to make the world of tomorrow a better place. Do you have high standards when it comes to your job? So do we. At Bosch, you will discover more than just work.Benefits and Career Opportunities
Working in one of the Best Places to Work in Vietnam
Join a dynamic and fast growing global company (English-speaking environment)

13th-month salary bonus + attractive performance bonus (you'll love it!) + annual performance appraisal

100% monthly basic salary and mandatory social insurances in 2-month probation

Onsite opportunities: short-term and long-term assignments

15++ days of annual leave + 1 day of birthday leave
Premium health insurance for employee and 02 family members

Flexible working time
Lunch and parking allowance
Various training on hot-trend technologies/ foreign language (English/Chinese/Japanese) and soft-skills

Fitness & sport activities: football, badminton, yoga, Aerobic
Free in-house entertainment facilities and snack
Join in various team building, company trip, year-end party, tech talks and a lot of charity events

"
22,.Net Developers (Junior to Senior),"[
.NET

, 
MySQL

, 
C#

]","
182 Lê Đại Hành, District 11, Ho Chi Minh
See map

","
We are searching talent for the very big project interacting across nations (Australia, Thailand, Hong Kong, Japan, Korea etc.) with diversity of people with different nationalities working together using the newest API technology.  We work hard, we play hard. Providing the flat hierarchy working environment where each individual plays an essential role within the organization. Why not join us and enjoy the culture below:1 WORKING HOURS
8 working hours are flexible with 1 hour break for lunch.
Staff can start early and finish early to keep in sync with Australia working hours
 2 LEAVES
12 days Annual Leave per annum. Annually leave is accumulated up to 2 years.
Additional one annual leave day for every five years of service

Sick Leave: 5 days paid per annum.

Compassionate Leave: 3 days per annum
4 HEALTHCARE

Life and Personal Health Insurance package for full-time and permanent staff.
Annual health check
 5 BONUSES
13th month bonus
Loyalty reward Program (Bonus for every 3 years, 5 years of service)
Project/ Performance Bonus
 6 OTHER BENEFITS, ALLOWANCES AND INCENTIVES

100% salary during Probation Period
Weekly budget for team buildings  (150,000 VND per week per person)
Fully sponsored onsite trip to Titan international offices (AU, Thailand, UAE, EU etc.)
Gifts on special occasion + holiday (Tet, Full-moon festival, Birthday, Christmas etc.)

Employee Referral Program
Internal events every month (Happy lunch, Milk tea Friday, etc.)
Sport Activity Funding (Football every Tuesday & Thursday)
Education Funding

"
23,Sr Fullstack Dev (Java/.Net),"[
Java

, 
.NET

]","
14th Floor, 81-85 Ham Nghi Street, District 1, Ho Chi Minh
See map

","
Our people always feel #HappyLifenergy as:

we are inspired to grow through the continuous learning and development journey: We believe continuous learning is the minimum requirement for any success, so learning opportunities are open for anyone who wish to develop their career. More than that, we try our best to catch up with the latest market trends with different methodologies: offline, online, e-learning, and blended approaches.

we are empowered to pursue our own career advancement: We choose to BUILD for GROWTH in our learning and development strategy which takes more risk and time but we accept all those challenges to nurture our people.

everyone feels engaged and becomes part of Hanwha Life Vietnam: The physical and mental well-being of our people has been at the center of our people's strategy that helps them find #HappyLifenergy not only in the work but also in the trust–engagement–loyalty.

we welcome diversity, knowing it makes us better together: We welcome diversity, knowing it makes us better together. Everyone here is unique and different, but we're all aiming for the same goal.
we practice CSR aiming to spread #HappyLifenergy to communities where we operate.

"
24,"Fresher/ Senior Fullstack Developer (C#, .Net)","[
.NET

, 
OOP

, 
C#

, 
Fresher Accepted

]","
14th Floor, Phu My Hung Tower, 08 Hoang Van Thai, District 7, Ho Chi Minh
See map

","

Annual bonus: 2 - 3 months under minimum KPI requirement
Regular training, company team building, birthday bonus
Competitive package.
13th month salary and performance bonus (2-4 month salary)
Working in a dynamic, open and creative environment
Fast promotion opportunities based on personal ability
Team-Building, Year End Party and many internal events
About Concung.com 
Working time: 8:30 - 17:30 Monday - Friday 
Working place: 14th Floor, Phu My Hung Tower, Tan Phu Ward, Dist. 7, HCMC 
The Journey of 10 years:

"
25,"Senior Developer (Angular, .NET Core) Gross up to 55M","[
Angular

, 
JavaScript

, 
.NET

]","
55 Đặng Dung, Phường Tân Định, District 1, Ho Chi Minh
See map

",
26,".Net Developer (C#, Core)","[
.NET

, 
ASP.NET

, 
C#

]","
Tầng 3, 4 CIC Tower, Số 2 ngõ 219 Trung Kính, Cau Giay, Ha Noi
See map

","
Good salary and a bonus if things work wellWorking & growing with the friendly and professional teamFlexible working timeProfessional equipment (own laptop, 2-3 screens, ...)Amazing company trip once a year, month-end with the whole company and team building with the project teamIf you want to learn more, if you want to challenge yourself to take on greater responsibilities (and more), if you want to make a difference in the IT sector in Vietnam - then Novaon is for you.The heart is still beating, the legs are still walking.Come and feel Novaon.
"
27,10 Fresher Web Developer (.Net / C# / OOP),"[
.NET

, 
OOP

, 
C#

, 
Fresher Accepted

]","
Tầng 5 tòa nhà 132 Cộng Hòa, Phường 4, Tan Binh, Ho Chi Minh
See map

","

Mức thu nhập theo năng lực từ 10 triệu ++/tháng 
Thưởng lương tháng 13
Thưởng kết quả KPI năm
Tham gia bảo hiểm xã hội đầy đủ
Khám sức khỏe hàng năm
Thưởng tiền vào dịp lễ (30/4 – 1/5, 2/9 và Tết dương lịch)
Trợ cấp đào tạo các chứng chỉ chuyên ngành
Các quyền lợi khác được hưởng như:
Chế độ nghỉ hè, nghỉ mát, thành lập công ty
Được làm việc trong trong môi trường chuyên nghiệp,thân thiện.
Được cử đi đào tạo tại nước ngoài 

"
28,"Junior/Middle Backend Dev (.NET, C#)","[
.NET

, 
SQL

, 
C#

]","
7 Floor, No. 1196 , 3/2 treet , Ward 8, District 11, Ho Chi Minh
See map

","
Chế độ phúc lợi:
Tham gia bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp theo luật quy định.
Số ngày nghỉ phép trong năm: 14ngày/năm.
Nâng cao thu nhập cho người có năng lực, tâm huyết và gắn bó lâu dài với Công ty. Có cơ hội thăng tiến và trở thành ""core"" trong 1 công ty mang sứ mệnh cung cấp giải pháp CNTT y tế theo chuẩn quốc tế. 
Thưởng tháng thứ 13 (nếu pass thử việc ký hợp đồng lao động chính thức thì công ty vẫn xem xét thưởng full tháng 13) + Thưởng dự án + Thưởng KPI.
Bảo hiểm sức khỏe cá nhân từ khi thử việc
Cơ hội phát triển nghề nghiệp: Rất nhiều bài toán khó để bạn có thể có cơ hội học hỏi và vượt qua năng lực của bản thân. Ở Infomed 1 năm làm việc có thể bằng 2-3 năm kinh nghiệm làm các dự án quản trị cơ bản.Đời sống tinh thần:
Các thành viên Công ty rất thân thiện, cởi mở, chia sẻ, giúp đỡ nhau vượt qua mọi khó khăn trong công việc và đời sống.
Công ty luôn quan tâm tới đời sống tinh thần của nhân viên và người thân bằng việc tổ chức các bữa tiệc party nhân dịp các sự kiện như: Ngày Quốc tế phụ nữ 8/3, Phụ nữ Việt Nam 20/10, quà Trung thu, quà Thiếu Nhi,…
 Tiện ích:Trang bị sẵn các thiết bị hiện đại, sẵn sàng phục vụ nhân viên làm việc một cách hiệu quả nhất. 
"
29,.NET Developer (C# / Oracle)~1500 USD,"[
.NET

, 
C#

, 
Oracle

, 
Fresher Accepted

]","
Hội sở chính, Toà nhà Hanoi Tungshing Square, Số 2 Ngô Quyền, Phường Lý Thái Tổ, Quận Hoàn Kiếm, TP. Hà Nội, Việt Nam, Hoan Kiem, Ha Noi
See map

","

Negotiate
 Insurance Coverage
 Allowance & additional salary payment
Salary Review Annually
18 days full paid leave per year
Training & Development
Annually Health Checkup

"
30,".NET Backend Developer (C#, ASP.NET) Up to $1500","[
.NET

, 
C#

, 
ASP.NET

]","
Tầng 9, tòa nhà Đồng Nhân, 90 Nguyễn Đình Chiểu, P. Đa Kao, District 1, Ho Chi Minh
See map

","
What You'll Get:
We offer a very competitive salary for our employees: $1000 - $1500
Full paid probation.
Annual salary review based on performance and contribution.
13th-month salary.
Quarter bonus based on performance and contribution.
Unused leaves in a year will be paid as a bonus.
English learning support and getting technical certification support programs.
Employee recognition program company-wide.
Work on international projects in various fields.
Nice and friendly working environment.
Lots of interesting and challenging projects to work on.
Work with smart and straight technical geeks from other countries.
A chance to travel and get yourself trained at headquarter in California, America.
Free access to a library of educational books.
Flexible working hours scheme is for everyone.
In case you have personal stuff, working at home is possible.
Can't work on that day? No worries, you can work at the weekend to keep your leave.
Full of snacks, fruits, ... in the kitchen to help yourself during work time.
Need to relax? Get a buddy for a dart, table football, or ping-pong game.
Having lunch with colleagues or watching news/sports on TV during lunchtime.
By default, we don't work on Saturday or Sunday, because we love to see you refreshed next week.
Premium health insurance during the year.
Annual health check to make sure you're healthy.
Monthly team-building events to have a closer relationship with your work-mates.
Company trips with your family.
Football match every week for football lovers.
Join a running team to increase your stamina on multiple days in a week.
If you are interested in non-trivial tasks, algorithms, working in a team with experienced people, and working on high traffic apps, then submit a resume and send examples of your code (or a link to a profile on GitHub / bitbucket).
"
31,".NET Developer (C#, ASP.NET)","[
.NET

, 
C#

, 
ASP.NET

]","
176/4 Le Van Sy Street, 10 Ward , Phu Nhuan, Ho Chi Minh
See map

","
Successful candidates will have the following benefits:- Competitive salary - Continuous development of technical and soft skills through commercial work and formal trainings- Good working environment and friendly, supportive colleagues
"
32,.NET Developer (ASP.NET; C#) Up to 2200$,"[
.NET

, 
C#

, 
ASP.NET

]","
Duy Tan, Cau Giay, Ha Noi
See map

","
Trở thành một thành viên của IMIP Technology và tham gia vào dự án, bạn sẽ có:
Thu nhập từ 13-14 tháng lương / năm
Thưởng quý theo tình hình kinh doanh của công ty
Phụ cấp nghỉ mát hàng năm
Các hoạt động team building, family day do công ty tổ chức
Đầy đủ các chế độ và bảo hiểm theo quy định
Bảo hiểm y tế cao cấp cho bản thân và gia đình (với những thành viên từ 1 năm trở lên)
Môi trường làm việc thoải mái , năng động nhưng hiệu quả cao
Thời gian làm việc linh hoạt và giảm thiểu OT
Cơ hội làm việc trực tiếp với đối tác Mỹ, Châu Âu, Hàn Quốc
Cơ hội học những công nghệ khác để trở thành fullstack developer
Cơ hội nâng cao trình độ tiếng Anh khi tham gia các khóa học do Công ty tổ chức
Và rất nhiều cơ hội khác….

"
