,title,skill,address,skillAndExperience
10,05 Full-Stack .NET Developer ~ 2000$,"[
.NET

, 
ASP.NET

, 
ReactJS

]","
Tòa nhà 195, Khâm Thiên, Dong Da, Ha Noi
See map

","
Yêu cầu:
Có ít nhất 1 năm kinh nghiệm Full-stack development với stack: Asp.Net/Asp.Net Core MVC, Angularjs/ReactJs,  CSS preprocessor (SASS, SCSS),...
Tư duy lập trình, tư duy giải quyết vấn đề tốt.
Có khả năng nghiên cứu công nghệ mới, đọc hiểu tốt tài liệu tiếng Anh
Chăm chỉ, cẩn thận, có trách nhiệm với công việc được giao.
Ưu tiên những ứng viên có các kĩ năng sau
Có kĩ năng/kinh nghiệm ở vị  trí Project Manager, Scrum master
Có kinh nghiệm backend với NodeJS/PHP là điểm cộng
Am hiểu và có kinh nghiệm sử dụng kiến trúc Microservices
Am hiểu cấu trúc dữ liệu & giải thuật, kiến trúc máy tính, OOP, các Design pattern
Đã có kinh nghiệm sử dụng cache với Web application
Có kiến thức, kĩ năng làm việc với Message Queue (Rabbitmq, Kafka), Redis, Varnish, Solr/Elastic search, MongoDB,...
Đang làm việc trong môi trường sử dụng Okrs, Agile

"
11,Fresher/Junior Developer (Java/.NET/JavaScript) ~25M,"[
Java

, 
JavaScript

, 
.NET

, 
Fresher Accepted

]","
Tầng 15, toà nhà DETECH, 8C Tôn Thất Thuyết, Mỹ Đình 2, Nam Tu Liem, Ha Noi
See map

","

Tốt nghiệp hệ chính quy, ngành CNTT trường CNTT
Không quan trọng kinh nghiệm; Ứng viên chưa có nhiều kinh nghiệm sẽ được đào tạo, kèm cặp tận tình 
Có kiến thức tốt về CNTT nói chung
Sử dụng tốt một trong những ngôn ngữ: Java; Vb.net; Javascript

Có kiến thức cơ bản về cơ sở dữ liệu quan hệ SQL
Có kỹ năng làm việc độc lập và làm việc theo nhóm
Ưu tiên: Có kinh nghiệm triển khai phần mềm.
"
12,"Back-end Dev (.NET, API, MySQL) - Sign on bonus","[
.NET

, 
OOP

, 
MySQL

]","
384 Hoang Dieu Street, Ward 6, District 4, Ho Chi Minh
See map

","

Tốt nghiệp đại học/cao đẳng chuyên ngành CNTT (Khoa học máy tính, công nghệ phần mềm,..) hoặc đã được đào tạo về CNTT.

Có từ 1 - 3 năm kinh nghiệm thực tế hoặc tương đương về lập trình Backend .Net core. (Welcome những ứng viên có level cao hơn hoặc có hiểu biết lập trình .NET, C#)

Thành thạo về RESTful API, asp.net web api, EF core, Dapper.
Thành thạo thao tác với cơ sở dữ liệu DBMS (PostgreSQL, MySQL).

Có hiểu biết cơ bản về cơ sở dữ liệu và hệ thống: MongoDB, Redis.


Có hiểu biết cơ bản về gRPC, RabbitMQ, API Gateway.

Hiểu biết về OOP, Data Structure.
Đã từng làm việc với kiến trúc microservices, docker là lợi thế.
Ưu tiên các ứng viên: 
Nhận việc sớm trong tháng 11 hoặc onboard trước Tết dương lịch.
Muốn thử sức và phát triển trong môi trường startup.
Có khả năng quản lý thời gian, quản lý công việc và có tinh thần trách nhiệm trong công việc.
Có kỹ năng tiếp cận và học hỏi công nghệ mới nhanh chóng.
Có suy nghĩ tích cực và tinh thần cầu tiến.

"
13,Senior level - .NET Developer (SQL/C#) Upto $4000,"[
.NET

, 
C#

, 
SQL

]","
107 Nguyen Phong Sac, Dich Vong Hau, Cau Giay, Ha Noi
See map

","

Bachelor's degree in computer science or equivalent
Proficiency in C# and .Net/.Net Core framework. 
Love writing code, love deleting code
Grit
Dare to fail
Be hardworking, passionate and have a can-do attitude.
Be a good team player and patient person
Critical thinking
Stay focused
Be assertive
Happy to deal with the opposite and different ideas
Logical thinking
Problem solving
Self learner
Honesty and trustworthy
Basic communication in English

"
14,".NET Developer (C#, ASP.NET)","[
.NET

, 
C#

, 
ASP.NET

, 
Fresher Accepted

]","
1 Thai Ha, Dong Da, Ha Noi
See map

","

Có 1 năm kinh nghiệm lập trình web trên nền .NET Core/.NET Framework (C#, ASP.NET).
Nắm vững các mô hình lập trình OOP, MVC, Web API.

Có kinh nghiệm lập trình Database với Entity Framework, SQL Server

Có hiểu biết HTML5, CSS3, JavaScript.
Thành thạo Git.
Có kỹ năng phân tích và giải quyết vấn đề, khả năng học hỏi nhanh công nghệ mới.
Có tinh thần trách nhiệm cao trong công việc.
*** ƯU TIÊN:
Tiếng Anh giao tiếp.
Có kiến thức lập trình GraphQL

Hiểu biết về Agile Scrum, Unit testing.

"
15,"Backend Dev ( .NET, C# , SQL) ~$3000","[
.NET

, 
SQL

, 
C#

]","
Tầng 5, Tòa nhà Technosoft, Khu CNTTTT Cầu Giấy, 15/8 Duy Tân, phường Dịch Vọng Hậu, Cau Giay, Ha Noi
See map

","
• 5+ years of software development experience• Proficient in C# .Net• Experienced with HTML, JavaScript and web development frameworks (Blazor, AngularJS, Bootstrap, jQuery)• Proven experience with software design and OOD methodology• Familiar with Relational Databases and SQL• Experienced in developing Web services (SOAP, REST)• Strong in Object Oriented Programming, MVC, Design Patterns and SOLID principles• Dynamic, hardworking, enthusiasticLanguage requirements:- Basic English communication (Read - Write - Exchange email, chat) (fluency is a plus).Preference for candidates:- Able to conduct an interview and join the company as soon as possible.- Participated in Commercial Development projects.
"
16,"Software Developer (Java, .NET, C/C++)","[
Java

, 
C language

, 
.NET

, 
Fresher Accepted

]","
Tòa nhà MB, số 18 Lê Văn Lương, Cau Giay, Ha Noi
See map

","

Tốt nghiệp Đại học các chuyên ngành Công nghệ thông tin, Điện tử viễn thông, Phần mềm, Hệ thống thông tin...
Kinh nghiệp tối thiểu 01 năm một trong các ngôn ngữ lập trình: C, C#, C++, JBase, Java, .Net, Python, React Native, MongoDB...
Ưu tiên ứng viên có kinh nghiệm với MS SQL, My SQL, Oracle...

"
17,.NET/Java/NodeJS Backend Developer ~40M,"[
NodeJS

, 
Java

, 
.NET

]","
TT-02, Khu văn phòng và nhà ở 536A Minh Khai, Phường Vĩnh Tuy, Hai Ba Trung, Ha Noi
See map

","

Có ít nhất 2 năm kinh nghiệm viết API Restful với Java/ NodeJS/ .NET, Entity Framework
Có kinh nghiệm xây dựng hệ thống lớn, giải quyết các vấn đề hiệu năng sẽ là một lợi thế.
Kỹ năng làm việc nhóm tốt.
Có kiến  thức phát triển dịch vụ sử dụng REST API.
Sử dụng thành thạo Linux / Unix, biết lập trình script (shell) là lợi thế.

"
18,10 Fresher Web Developer (.Net / C# / OOP),"[
.NET

, 
C#

, 
OOP

, 
Fresher Accepted

]","
Tầng 5 tòa nhà 132 Cộng Hòa, Phường 4, Tan Binh, Ho Chi Minh
See map

","

Tốt nghiệp hoặc đang theo học CĐ/ĐH chuyên ngành Công nghệ thông tin hoặc có liên quan
Có kiến thức về C#, .NET Web API, SQL, EF core, ...
Ưu tiên có kinh nghiệm với ReactJS, Angular, Vue, Tailwind CSS ...
Có kiến thức và tư duy lập trình hướng đối tượng (OOP)
Ưu tiên các ứng viên fullstack, biết thiết kế kiến trúc hệ thống
Ưu tiên có kiến thức về phân tích thiết kế lập trình và quy trình phát triển phần mềm
Yêu cầu về kỹ năng
Kỹ năng: lập kế hoạch, triển khai công việc, giải quyết vấn đề và chịu được áp lực công việc cao.
Khả năng: tiếp cận công việc nhanh, phân tích công việc, làm việc theo nhóm.
Tính cách cá nhân: kiên trì, trung thực, linh hoạt, có tinh thần trách nhiệm.
Phong cách làm việc: ngăn nắp, cẩn thận, nhanh nhẹn, nhiệt tình, hòa đồng.
Trình độ ngoại ngữ: Có khả năng đọc hiểu tiếng Anh kỹ thuật
Có đam mê kỹ thuật, có tư duy kỹ thuật tốt và có khả năng tiếp cận nhanh các sản phẩm công nghệ, giải pháp công nghệ.

"
19,".Net Core Developer (ASP.Net, C#) (Nha Trang)","[
.NET

, 
C#

, 
ASP.NET

, 
Fresher Accepted

]","
10th Floor, VCN Tower, 2 To Huu St., Phuoc Hai Ward, Nha Trang
See map

","

Minimum 3 years of experience in designing and building software solutions
Proven experience as a .Net Core developer
Strong hands-on experience in OOP
Familiarity with the ASP.NET framework, Entity Framework
Proficient in writing unit tests
Database skills (MySQL, PostgreSQL, MongoDB)
Strong hands-on experience on server-side concepts like Messaging, Workflow
Basic understanding of design patterns like MVP, MVVM, MVC
Familiarity with Docker and Docker orchestrations
Having knowledge in cloud services like AWS, GCP, Azure is a plus
Having experience in working with Microservices architecture is a plus
Having any experience of any front-end framework (ReactJS, Angular) is a plus
Excellent opportunities await.
Writing clean, scalable code using .Net (C#) programming language
Designing, developing and maintaining software systems using ASP.NET
Testing the developed software to ensure it meets the data, logical, functional requirements
Diagnosing and resolving application / configuration / code level technical issues
Ensuring up to date technical documentation
Participating in code reviews
Investigate, analyze and make recommendations to management regarding technology improvements, upgrades and modifications
What we expect from you:Is this you?
Initiative and result-oriented
Strong analytical and conceptual thinking
Ability to deal with uncertainty in dynamic environment
Ability to give and receive feedback constructively
Be capable of using both oral and written English effectively
Strong analytical and report writing skills, communication skills and problem-solving skills
Proven experience in working with minimal supervision
Be a team player
Good presentation skills

"
20,Salesforce Developer (Java/.NET/ PHP),"[
Java

, 
PHP

, 
.NET

]","
106 Nguyen Van Troi, Phu Nhuan, Ho Chi Minh
See map

","

Good written and verbal skills in English (mandatory), French as a plus
2+ years real experience in Salesforce, Apex as a plus
Opened to non Salesforce candidates with Java, .NET or PHP skills (at least 2+ years experience)

Good at analyzing & problem solving, team work, generates enthusiasm among team members.
Experience in insurance projects is an advantage
Salesforce certificates are an advantage

"
21,".Net Backend Developer (C#,MySQL)- Upto 1800$","[
.NET

, 
MySQL

, 
C#

, 
Fresher Accepted

]","
Tòa nhà Sunshine Center, 16 Phạm Hùng, Nam Tu Liem, Ha Noi
See map

","

Có ít nhất 01 năm kinh nghiệm lập trình .NET (C#) trở lên
Có kiến thức về một trong các ngôn ngữ lập trình .NET (C#), TSQL, Java
Có kiến thức lập trình ít nhất một trong các nền tảng sau: Web API, Services
Có kiến thức về hệ quản trị CSDL: MySQL, SQL Server
Có kiến thức về lập trình web (HTML5, javascript, CSS)

"
22,".NET Dev (C#, ASP.NET, MVC, Entity) +2yr","[
.NET

, 
MVC

, 
ASP.NET

]","
40 Lam Son Street, Ward 2, Tan Binh, Ho Chi Minh
See map

","
REQUIREMENTS:
Degree in Software Engineering, Information Technology or relevant.
At least 2 years of work experience in developing web applications.
Experienced in .NET Core, .NET, ASP.NET, ASP.NET MVC, Entity Framework, or C#.

Have good knowledge about Object-Oriented Programming (OOP).

Experienced in Git or other source control systems.
Good English skills are a plus
Good time management, communication, and problem-solving skills.
Good teamwork spirit and logical thinking.
Proactive, well self-organized, and responsible in work.
Able to quickly manage new technologies.

"
23,.NET Developer (C#) - up to $2000,"[
C#

, 
.NET

, 
Cloud

]","
2nd Floor, Detech II Tower, 107 Nguyen Phong Sac Str, Cau Giay, Ha Noi
See map

","

Likely having 1+ year of experience depending on how fast of your learning and developing technical capability
Proficiency in C# and .NET Core framework
Good knowledge of OOP, clean code
Ability to understand business requirements and translate them into technical requirements
Ability to self-learn and adapt to new technologies quickly

"
24,"Fullstack Developer (.NET, Angular, MS, SQL, DB)","[
.NET

, 
C#

, 
Angular

]","
7th Floor, FPT Tower, No. 10 Pham Van Bach Street, Dich Vong Ward, Cau Giay, Ha Noi
See map

","

Graduated from College/ University majoring in IT, Mathematics, Telecommunication...
At least 2 years of experience in developer position.
Experience working with: C# (NET Core 2.2+), TypeScript (Angular 4+).
Experience with MS SQL Server databases.
Good knowledge of object-oriented programming 

"
25,".NET Backend Developer (C#, ASP.NET) Up to $1500","[
.NET

, 
C#

, 
ASP.NET

]","
Tầng 9, tòa nhà Đồng Nhân, 90 Nguyễn Đình Chiểu, P. Đa Kao, District 1, Ho Chi Minh
See map

","
Who You Are:
3+ years of experience with Backend .NET
You are confident in .NET, you understand the structures, algorithms, design patterns.
Have experience with Entity Framework and databases.
Daily work with ASP.NET MVC, ASP.NET Core.
Offer thoughtful and reasoned solutions and implement them with a minimum of bugs (or without them at all)!
Plan your decision before writing the first line of code.
Know how to test your own and foreign code (unit tests, integration tests, manual tests).
Understand the complexity of O-notation algorithms.
Preferred Skills:
Experience with Windows Azure, AWS.
Practical knowledge in the field of optimization and profiling of .NET code.
Practical knowledge in the field of optimization and profiling MS SQL (execution plan is your best friend!).
Experience in developing desktop applications for Windows.
Practical experience in developing desktop applications using WPF.
Experience with Frontend Angular framework (or Vue.js, React).
Good understanding of Frontend technologies: CSS / HTML / JavaScript / Webpack.
Experience or interest in working with other languages.
Ability to communicate with other developers and analyze their own proposed solutions (and ideas) in terms of ROI (Return on Investment
What You'll Do:
Create API, backend for mobile, web, IoT, and desktop applications.
Develop Enterprise Solutions (CRM / ERP).
Develop new applications and projects.
Work with projects that already live in production and where the number of users, traffic, databases and infrastructure load is growing.
Technologies We Use:
.NET Framework, .NET Core.
ASP.NET MVC, ASP.NET Core.
Microsoft SQL Server, PostgreSQL, MySQL.
JavaScript (Angular).
WPF.
xUnit.
Azure / AWS.
Jenkins.
JMeter.
Git, Gitflow.
IIS.
What We Appreciate:
Both beautiful code and minimum code.
Clear code that is covered by tests and contains detailed comments.
Developers, increasing the amount of knowledge and experience of the team.
Those who are not afraid of responsibility and work for the result.
Developers who do not require micromanagement and continuous monitoring.
The actual documentation and those who support it.
Sense of humor
Good English speaking skill

"
26,".NET Developer (C#, ASP.NET)","[
.NET

, 
C#

, 
ASP.NET

]","
176/4 Le Van Sy Street, 10 Ward , Phu Nhuan, Ho Chi Minh
See map

","
-   Experience in commercial web application development-   Strong experience in Javascript, HTML5/CSS, AJAX, Responsive design-   Strong experience in C#, ASP .NET, WebForm (postback, Webmethod)-   Experience in MySQL database, Visual Studio IDE, Github, Redmine, MS Team-   Good analytical skills-   Experience in leading and mentoring other developers is a plus-   Capable of working indepently and communicate/discuss (offline via chat/email) with customer-   Japanese and/or English proficiency is a plus BenefitsSuccessful candidates will have the following benefits:- Competitive salary - Continuous development of technical and soft skills through commercial work and formal trainings- Professional yet flexible working environment with comfortable and modern office locating in Phu Nhuan District- Friendly, fun and supportive colleagues with gyms, ping pong club, foosball table, coffee/lunch lounge
"
27,".NET Backend Developer (C#, JavaScript)","[
.NET

, 
C#

, 
JavaScript

]","
Tầng 4, số 17-19 ngõ 59 Láng Hạ, Thành Công, Ba Dinh, Ha Noi
See map

","

Strongly commitment attitude
Proven ability for designing & developing high-volume web solution with microservice architecture
Web API development with Microsoft .NET 3.5+  & .NET core
Experience identifying and addressing performance and scalability issues
Experience with SQL and PostgreSQL/SQL Server
1+ years of experience with HTML5, CSS3, JavaScript, JQuery, Angular/ReactJS
Willing to learn, understand new / emerging technologies & good teamwork skills
It is a big advantage if you have experience or knowledge with one of following:
Python/PHP
DevOps (CI/CD with Github, docker container, Kubernetes/OpenShift)
Computer Vision, Machine Learning (Deep Learning…)

"
28,Senior .NET Developer,"[
.NET

, 
C#

, 
ASP.NET

, 
Fresher Accepted

]","
02 Tan Vien, ward 2, Tan Binh, Ho Chi Minh
See map

","
General requirements:
At least intermediate skill level of English and the ability to present to client’s technical leaders and executive team as well as participating online conferences in English
Good problem-solving skills and presentation skills
Familiar with the Agile development methodologies (Scrum, XP, Kanban)
Technical requirements:
Competent in software development processes and agile development practices
Proficient in software design, language paradigms (OO, functional etc.), design patterns and principles
Perform exemplary work in terms of quality and level of skill/knowledge required
Proficient in one or more programming languages and platforms with .NET/ .NET Core as the primary platform
Rich experience working on front-end frameworks as VueJS/ReactJS/Angular or EmberJS
Recognized as a company-wide source of the knowledge in software implementation
Has basic & discrete knowledge of software requirements and software testing
Nice to have:Experience in using cloud platform (Azure/AWS/GCP)
"
29,"Backend .NET Dev (C#, .NET Core, MVC)","[
.NET

, 
MVC

, 
C#

]","
03 Tran Nhan Ton, Ward 9, District 5, Ho Chi Minh
See map

","
Requirements:
University degree in Software Engineering, Information Technology, or equivalent.

At least 1- 2 years of work experience in developing web application.

Have good knowledge of C#, .NET, .NET Core, MVC, OOP, dependency injection, design patterns, principled and best practices.
Hands-on experience with .NET Core, MVC, Entity Framework (Core), MongoDB, SQL Server, Redis.
Be able to use Git on a daily basis.
“can-do” attitude, listen and communicate with team members.
Have a teamwork spirit, be careful, pay attention to small details, think logically, long-term working.
Passionate learners who aren’t afraid of new tools and technologies.
Good to have:    
Have knowledge about Microservices architecture.
Have good knowledge about JWT or OAuth2.
Have knowledge about message queue such as: Kafka, RabbitMQ.
Basic knowledge of Docker, Kubernetes, DevOps.

"
30,"Sign in bonus - C#, .NET, Angular Dev -Upto 2000$","[
C#

, 
.NET

, 
Angular

]","
Hoa Binh Tower, 106 Hoang Quoc Viet, Nghia Do, Cau Giay, Ha Noi
See map

","
Điều kiện bắt buộc:
Có từ 6 tháng kinh nghiệm lập trình, có kiến thức nền tảng vững
Thành thạo 1 trong các ngôn ngữ Java, C#, .Net, C++, Python
Có khả năng làm việc độc lập đồng thời có tinh thần và kỹ năng làm việc nhóm tốt
Không yêu cầu ngoại ngữ tuy nhiên có tiếng Nhật là một lợi thế
Ưu tiên các ứng viên:
Có kinh nghiệm làm cho công ty Nhật hoặc cho khách hàng Nhật
Biết tiếng Nhật (Công ty đang mở rộng chi nhánh Nhật bản và có nhiều cơ hội làm việc onsite Nhật Bản cho ứng viên tiếng Nhật)
Thời gian làm việc:
Từ Thứ 2 đến Thứ 6 (8:30~17:30), nghỉ Thứ 7 & Chủ Nhật
Được thanh toán đầy đủ nếu phát sinh OT

"
31,"Urgent - .NET Web Dev (ASP.NET, C#)","[
.NET

, 
C#

, 
ASP.NET

, 
Fresher Accepted

]","
165 Thái Hà, Dong Da, Ha Noi
See map

","

At a minimum, you should have a Bachelor's Degree in software development or equivalent
You should have at least 3 years of experience in Microsoft .NET C# programming and web development, both front-end and back-end. It is beneficial if you have experience working with ReactJs. 
It is beneficial if you also have experience in CMS and E-commerce. 
You are enthusiastic about new cloud technology. 
Good skills in English, both written and spoken.

"
32,"[Remote] Software Dev (ASP.NET 6.0 or above, .NET, C#)","[
ASP.NET

, 
.NET

, 
C#

]","
Remote, District 4, Ho Chi Minh
See map

","

Bachelor Degree in Computer Science, Information Systems or related technology.
Good knowledge in  technology (ASP .NET 6.0 or above, .Net Core & C#).
Good knowledge in PostgreSQL programming and administration.
Good knowledge in Linux environment.
Understanding of Node.JS and TypeScript is a plus.
Able to start work immediately or with short notice. 

"
33,"Fullstack Developer (.NET, C#, Reactjs)","[
.NET

, 
C#

, 
ReactJS

]","
17 Đường số 2, Phường 4, District 3, Ho Chi Minh
See map

","

At least 3+ years of hands-on experience with .NET
Experience with front-end frameworks (ReactJS, Angular) is preferred
Understand Web API, SQL Server, Unit Tests, and Object Oriented Programming (OOP) concepts.
Experience with SQL Server: migration, queries, backups, restores, etc.
Experience with Javascript, CSS3 and HTML5.
Experience with a wide variety of unit testing tools such as NUnit.
Familiarity with open source tools & frameworks i.e. Git, entity framework.
The ability of demonstrated, hands-on development experience within an Agile environment.
Understand Test Driven Development (TDD).
Good English communication

"
34,02 Senior .Net Full Stack Developer,"[
.NET

, 
JavaScript

, 
ASP.NET

]","
Sarus Building, 67 Nguyen Thi Minh Khai Street, Ben Thanh Wards, District 1, Ho Chi Minh
See map

","

At least 4+ years .Net experience (C#).
General IT and networking experience.
Ability to write clean, modular, reusable, and maintainable code.
Knowledge of HTML and ASP.NET Core and JavaScript development.
Knowledge of Angular development (RxJS, Angular Material).
Knowledge of Window Presentation Foundation framework.
Leveraging .NET Web frameworks to speed up building web applications.
Working with and deploying microservices.
Working with Docker or alternatives.
Knowledge of CI / CD and Git workflow
MS SQL and MySQL database design / high availability / full-text search
Integration with 3rd parties (e.g., online payment providers, etc.)
Logging & Debugging
Cron job / Queue (Sending emails or updating multiple objects)
Good English skills.
Communication skills.
Experience with foreign customers’ desires.
Good at problem-solving and giving suggestions instead of following.
Ability to work independently.
Adaptable and flexible skills.
Desirable Skills:
Knowledge of Cloud services such as Windows Azure or AWS
Knowledge of DevOps

"
